Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),April 2013 to March 2014: volume,April 2013 to March 2014: digital volume,April 2013 to March 2014: cost per transaction (£),July 2013 to June 2014: volume,July 2013 to June 2014: digital volume,July 2013 to June 2014: cost per transaction (£),October 2013 to September 2014: volume,October 2013 to September 2014: digital volume,October 2013 to September 2014: cost per transaction (£),January 2014 to December 2015: volume,January 2014 to December 2015: digital volume,January 2014 to December 2015: cost per transaction (£),April 2014 to March 2015: volume,April 2014 to March 2015: digital volume,April 2014 to March 2015: cost per transaction (£),July 2014 to June 2015: volume,July 2014 to June 2015: digital volume,July 2014 to June 2015: cost per transaction (£),October 2014 to September 2015: volume,October 2014 to September 2015: digital volume,October 2014 to September 2015: cost per transaction (£),January 2015 to December 2015: volume,January 2015 to December 2015: digital volume,January 2015 to December 2015: cost per transaction (£),April 2015 to March 2016: volume,April 2015 to March 2016: digital volume,April 2015 to March 2016: cost per transaction (£),July 2015 to June 2016: volume,July 2015 to June 2016: digital volume,July 2015 to June 2016: cost per transaction (£),October 2015 to September 2016: volume,October 2015 to September 2016: digital volume,October 2015 to September 2016: cost per transaction (£),January 2016 to December 2016: volume,January 2016 to December 2016: digital volume,January 2016 to December 2016: cost per transaction (£),April 2016 to March 2017: volume,April 2016 to March 2017: digital volume,April 2016 to March 2017: cost per transaction (£),July 2016 to June 2017: volume,July 2016 to June 2017: digital volume,July 2016 to June 2017: cost per transaction (£),October 2016 to September 2017: volume,October 2016 to September 2017: digital volume,October 2016 to September 2017: cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Appointment or change of agent for a patent,48591,,,44320,0,,,,,1565,,,1554,0,,1825,0,,1756,0,,1831,0,,1788,0,,1599,0,,1529,0,,1413,0,,1343,0,,1265,0,,1838,0,,1951,0,,1966,0,,1972,0,,1416,0,,1363,0,,1531,0,,Providing information,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,Data for appointment or change of agent to be authorised to act in all or part of matters relating to the application of a patent or granted patent (F51).,This cost is not tracked as represents a non fee bearing form,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Innovate UK,,Innovate UK funding: assessments of grant applications,,,,25457,,,25798,,,24679,24679,,22610,22610,,26376,26376,,29944,29944,,26613,26613,,30176,30176,,27976,27976,,27658,27658,,29839,29839,,30225,30225,,32690,32690,,30851,30851,,27309,27309,,33995,33995,,30114,30114,,31250,31250,,34805,34805,,25120,25120,,,https://grants.innovateuk.org/welcome,Data for assessments of grant applications by independent assessors. There are several assessments for each application.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,"Advisory, Conciliation and Arbitration Service",Acas,Acas training course bookings,8000,,,2744,,,2723,,,5529,3434,,7681,3631,,9049,3631,,9414,3119,,9608,3309,,9598,3453,,10097,3689,,10496,3876,,10807,3987,,10753,4047,,11130,4286,,11687,4885,,12062,5121,,11914,5064,,11713,4978,,11478,4683,,11372,4759,,11549,4973,,Booking events and resources,https://obs.acas.org.uk/,Data for bookings for Acas's training courses.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Land Registry,HMLR,Land Registry: registrations affecting multiple titles (bulk register updates),356194,,,,,,,,,,,,,,,,,,2147373,0,,2120970,0,,1904090,,,1063470,0,,1157728,0,,887806,0,,462165,0,,502817,0,,352348,0,,437947,0,,640133,0,,576443,0,,591774,0,,579346,0,,251402,0,,Providing information,https://www.gov.uk/government/collections/business-e-services,Data for single applications to register a transaction affecting multiple titles.,The cost per title updated under this process is negligible.,Volumes represent the total number of individual titles updated rather than the number of bulk updates submitted. ,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Change of proprietor's name or address on a trade mark application,5550,,,5550,,,5274,,,5736,,,5932,0,,6030,0,,6129,0,,5857,0,,5788,0,,5868,0,,6216,0,,6681,0,,7010,0,,7524,0,,7837,0,,7859,0,,7960,0,,7729,0,,7803,0,,7953,0,,8181,0,,Amending/deleting information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,"Data for requests for change of proprietor's name or address, or other change to application (TM21).",,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Companies House,,Companies House filing service: extractives industry payment disclosures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,250.00,48,48,250.00,82,82,250.00,82,82,,,,,79,79,,Providing information,https://www.gov.uk/government/publications/filing-reports-for-the-extractives-industries,Filing Registration service of data for disclosing payments made by large undertakings operating in the extractives industries to governments as required by the Reports on Payments to Governments Regulations 2014,,Service introduced towards the end of 2016,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Conduct of directors assessments,,,,,,,,,,,,,16465,0,,16068,0,,16065,0,,16049,0,,15721,0,,15188,0,,14676,0,,14233,0,,13749,0,,13352,0,,13159,0,,13253,237,148.99,15565,3395,93.39,15682,6538,85.56,15799,9806,85.56,15819,13109,87.00,13134,12947,,,https://www.gov.uk/government/publications/director-conduct-report-service,Data for returns from insolvency practitioner returns,,,Individuals,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: continuation of proceedings before the Comptroller,12,,,12,,,10,,,13,,,14,0,,13,0,,12,0,,10,0,,10,0,,9,0,,7,0,,8,0,,10,0,,12,0,,13,0,,11,0,,7,0,,5,0,,4,0,,6,0,,7,0,,Providing information,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,Data for continuation of proceedings before the Comptroller (F4).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Debt Relief Order (DRO) applications,30118,,,29305,,,,,,29677,29677,,29048,29048,,27653,27653,,27135,27002,,27164,26901,,26736,26736,,26719,26719,,26490,26490,,25350,25350,,24237,24237,,24598,24598,,25018,25018,,25875,25875,90.00,26789,26789,90.00,26502,26502,90.00,25887,25887,90.00,25250,25250,90.00,25096,25096,,Requesting a licence or consent,https://www.gov.uk/government/publications/getting-a-debt-relief-order,Data for applications (via an intermediary) for a Debt Relief Order (DRO).,,,Individuals,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Bankruptcy and liquidation: deposits of unclaimed money,720,,,720,0,,,,,16965,0,,1544,0,,1208,0,,1055,0,,1074,0,,1091,0,,1055,0,,1176,0,,1077,0,,1074,0,,1031,0,,1052,0,,1070,0,,1020,0,,1112,0,,1052,0,,1010,0,,1040,0,,Providing information,https://www.gov.uk/government/organisations/insolvency-service,Data for deposits of unclaimed money on voluntary and administration cases (CAU103 and CAU104) when creditors haven't cashed cheques issued.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Ordnance Survey,OS,Ordnance Survey products: online sales of digital subscriptions and physical products,16103,16103,,61664,,,61664,,,119539,,,177818,177818,,224249,224249,,220237,220237,,222990,222990,,220331,220331,,215104,215104,,229646,229646,,242379,242379,,255377,255377,,256006,256006,,268731,268731,,307189,307189,,360593,360593,,415020,415020,,430887,430887,,445669,445669,,468526,468526,,Requesting information,https://www.ordnancesurvey.co.uk/,Data for digital product subscriptions to Ordnance Survey.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Ordnance Survey,OS,Ordnance Survey products: digital product order fulfillment,32034,20595,,40476,,,40476,,,41862,,,45620,45620,,48625,48625,,52326,52326,,55752,55752,,55291,55291,,56354,56354,,57133,57133,,57920,57920,,61102,61102,,63619,63619,,63780,63780,,63854,63854,,63827,63827,,65486,65486,,68648,68648,,69641,69641,,71084,71084,,Requesting information,https://www.ordnancesurvey.co.uk/,Data for digital product order fulfillment by Ordnance Survey.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Land Registry,HMLR,Dispositionary First Lease (DFL) applications,166934,,,,,,,,,,,,,,,,,,187351,2700,,186201,11014,,183643,23188,,185759,47122,,190503,78891,,195573,103924,,198472,125910,,203246,144097,,203993,154087,,207783,163609,,214093,173108,,218893,181053,,232497,197204,,234910,203165,,228244,200682,,Providing information,https://www.gov.uk/government/collections/business-e-services,Data for applications to register a new lease granted out of a registered title.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Innovate UK,,European Enterprise Network Opportunity Finder: applications to create accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,775,775,,1386,1386,,2003,1797,,2451,2451,,2624,2624,,2611,2611,,2710,2710,,,http://www.enterprise-europe.co.uk/,"Data to create accounts, to express interest in business opportunities",,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Innovate UK,,European Enterprise Network Opportunity Finder: expressions of interest in business opportunities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,,884,884,,1320,1320,,2490,2237,,4544,4544,,6287,6287,,7543,7543,,8123,8123,,,http://www.enterprise-europe.co.uk/,Data for expressions of interest in business opportunities,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Filing a translation in connection with a European patent,55,,,55,,,0,,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Providing information,https://www.gov.uk/government/publications/patent-forms-and-fees,Data for filing a translation in connection with a European patent or a European patent application (F54).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Filing of regulations governing certification or collective marks,28,,,28,,,47,,,50,,,51,0,,62,0,,60,0,,53,0,,42,0,,34,0,,40,0,,40,0,,40,0,,34,0,,37,0,,39,0,,44,0,,54,0,,59,0,,60,0,,55,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for filing of regulations governing the use of certification or collective marks (TM35).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Land Registry,HMLR,First registration of estates,146274,,,,,,,,,,,,,,,,,,135103,0,,129514,0,,121314,0,,117564,0,,117194,0,,117412,0,,114004,0,,108940,0,,100198,,,95166,0,,96609,0,,99937,0,,105169,0,,106621,0,,107800,0,,Registering,https://www.gov.uk/government/collections/business-e-services,Data for applications for the compulsory or voluntary first registration of an unregistered freehold or leasehold estate in land.,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Applications for patents,22353,14025,,21042,15775,133.00,21229,17422,133.00,20645,,133.00,20389,12376,133.00,20112,16769,133.00,20154,17108,133.00,20163,17251,133.00,20314,16976,133.00,21287,17118,133.00,21207,16995,133.00,21926,17115,133.00,22732,17007,133.00,21832,16547,133.00,22665,16736,133.00,22096,17415,133.00,21488,17651,,22083,18299,,21487,17893,133.00,21458,16083,133.00,21591,16531,,Requesting a licence or consent,https://www.gov.uk/apply-for-a-patent,"Data for applications to apply for an intellectual property right, granted by a country's government for a limited period.",These costs are based on our fee charges data produced for 10/11 and exclude policy cost,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Income Payments Agreements and Income Payment Orders,5000,,,4588,,,,,,6724,0,,5361,0,,4804,0,,4554,0,,4295,0,,4039,0,,3808,0,,3486,0,,3264,0,,2935,0,,2688,0,,2579,0,,2537,0,,2594,0,,2652,0,,2763,0,,2887,0,,2930,0,,Providing information,https://www.gov.uk/government/organisations/insolvency-service,"Data for Income Payment Agreements between the bankrupt and the official receiver or trustee or, in cases of no agreement, IPOs.",,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Insolvency Service,INSS,Complaints to the Insolvency Service,,,,,,,,,,,,,1766,0,,3990,0,,4158,0,,4021,0,,4199,0,,4373,0,,4862,0,,5071,0,,4979,0,,5096,0,,4703,0,,4857,0,,4720,2184,,4799,3421,,4990,4884,,5232,5186,,5609,5584,,,https://www.gov.uk/government/collections/insolvency-service-investigations-and-enforcement-what-we-do-our-outcomes-and-complaints,Data for complaints received about live companies (not subject to insolvency procedings) and complaints about insolvent companies or disqualified directors acting as a director while disqualified.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: initiation of proceedings before the Comptroller,46,,,46,,,43,,,43,,,40,0,,43,0,,45,0,,50,0,,46,0,,42,10,,40,10,,42,10,,42,10,,34,0,,33,0,,19,0,,14,0,,13,0,,13,0,,15,0,,20,0,,,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,Data for initiation of proceedings before the Comptroller (F2).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Land Registry,HMLR,Land Registry: updates to the register,3404261,1021278,28.23,,,,,,,,,,,,,,,,3978446,1706144,,4204130,2134014,26.44,4273375,2518947,26.44,4257543,2917771,26.44,4210279,3199523,26.13,4075813,3223167,26.13,4107069,3353421,26.13,4111531,3449165,26.13,4190908,3589793,26.13,4352760,3788078,26.03,4351672,3840164,26.03,4331473,3839893,26.03,4384350,3902375,25.65,4311447,3840511,25.65,4322876,3871217,,Providing information,https://www.gov.uk/registering-land-or-property-with-land-registry,"Data for requests to update the register (eg for change of ownership) by conveyancers acting on behalf of clients, or by the public.","Digital Transactions are defined as those lodged by a customer through a digital channel. Once received some of these transactions are processed automatically whilst others require manual intervention and subsequently incur greater costs. As fewer transactions are lodged through non-digital channels a greater proportion of digital transactions require such manual intervention. Therefore whilst overall efficiency of a service may improve, the calculated average cost per digital transaction may be negatively impacted.<br><br>Land Registry costs are based on total costs per the 2014/15 published accounts (excluding exceptional items). Because our costs do not incur evenly, transaction costs based on published annual accounts represent a more stable reflection of the costs of delivering services and exclude changes purely resulting from the uneven profile of our costs. Apportioned costs include (but are not limited to) labour, accommodation, office equipment, information services, depreciation, provisions, fees paid, and general overheads; all attributed using the most appropriate cost driver. Costs also include that of indemnity, being compensation paid to injured parties such as victims of property fraud. Payments and required movements in the provision for such payments (as determined by an independent actuary) create a significant degree of annual fluctuation in costs which impact on cost per transaction accordingly.","Digital transactions are defined as those lodged and processed electronically, and those lodged electronically but which require some manual intervention. Figures are based on an average percentage basis across each quarter. </br></br>Applications to update the Land Registry may be submitted by conveyancers acting on behalf of clients, or by the public. Examples of applications include change of property ownership or registration of a mortgage.",Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Patents: late additions and declarations of priority,43,,,43,,,67,,,68,,,75,0,,73,0,,68,0,,57,0,,54,0,,49,0,,44,0,,42,0,,45,0,,50,0,,57,0,,59,0,,52,0,,50,0,,45,0,,48,0,,51,0,,,https://www.gov.uk/government/publications/patent-forms-and-fees/patent-forms-and-fees,Data for late additions and declarations of priority (F3).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,"Advisory, Conciliation and Arbitration Service",Acas,Acas model workplace self-assessment tool: registrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846,1846,,1789,1789,,1703,1703,,1489,1489,,1401,1401,,1366,1366,,1284,1284,,1244,1244,,1143,1143,,1043,1043,,1014,1014,,970,970,,Registering,https://obs.acas.org.uk/modelworkplace/,Data for registrations to self-assess a company's people management and employment relations.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Innovate UK,,Innovate UK funding: monitoring reports filed,,,,7000,,,7337,,,7436,7436,,8618,8618,,9017,9017,,10875,10875,,11020,11020,,11143,11143,,11972,11972,,10782,10782,,11182,11182,,11507,11507,,10579,10579,,9676,9676,,8642,8642,,7252,7252,,7272,7272,,7270,7270,,7151,7151,,6999,6999,,Providing information,https://grants.innovateuk.org/welcome,Data for reports filed by independent persons monitoring Innovate UK projects.,,,Business,Taxpayers
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,National processing of an international application for a patent,3514,1331,,3514,,,2190,,,2269,,,2303,1595,,2377,2144,,2308,2116,,2377,2210,,2369,2151,,2334,2094,,2284,2038,,2161,1911,,2304,1863,,2423,1899,,2434,2000,,2558,2016,,2512,2037,,2509,1941,,2492,1820,,2565,1845,,2631,1917,,Requesting a licence or consent,https://www.gov.uk/request-uk-processing-of-international-patent-application,Data for national processing of an international application for a patent (NP1).,,,Business,Fees and charges
"Department for Business, Energy and Industrial Strategy",BEIS,Intellectual Property Office,IPO,Trade marks: notices of appeal to the appointed person,24,,,24,,,27,,,30,,,32,0,,26,0,,27,0,,22,0,,20,0,,20,0,,18,0,,18,0,,16,0,,29,0,,28,0,,20,0,,19,0,,7,0,,6,0,,20,0,,28,0,,Providing information,https://www.gov.uk/government/publications/trade-mark-forms-and-fees,Data for notices of appeal to the appointed person (TM55).,,,Business,Fees and charges
